run_id,model,parameter_count,seed,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,backend,jax_version,git_commit
dense_5p12m_s0075_seed42,dense_5p12m,5123584,42,75,153600,2304000,614400,0.768,70828425216000,1.4978506088256835,0.0106,1.3209538459777832,0.5015869140625,10.169582501999685,20.795464511003047,49.12492699199993,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0075_seed123,dense_5p12m,5123584,123,75,153600,2304000,614400,0.768,70828425216000,1.1981915950775146,0.04845,1.0780057907104492,0.5731201171875,10.110128028999497,20.88165637700058,49.811170811999546,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0075_seed2026,dense_5p12m,5123584,2026,75,153600,2304000,614400,0.768,70828425216000,0.891770601272583,0.16525,0.8097060918807983,0.7081298828125,10.380536590000702,21.268304812998394,51.278409026999725,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0100_seed42,dense_5p12m,5123584,42,100,204800,3072000,819200,1.024,94437900288000,0.5468240976333618,0.40505,0.48409193754196167,0.847900390625,10.174122292999527,27.64012892700339,57.162080256999616,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0100_seed123,dense_5p12m,5123584,123,100,204800,3072000,819200,1.024,94437900288000,0.41351488828659055,0.6731,0.3662455677986145,0.921630859375,10.364758443000028,28.29193299399958,58.97277139900052,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0100_seed2026,dense_5p12m,5123584,2026,100,204800,3072000,819200,1.024,94437900288000,0.3915008187294006,0.59175,0.35533493757247925,0.8978271484375,10.694323221000559,27.983383037003478,59.28568907299996,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0125_seed42,dense_5p12m,5123584,42,125,256000,3840000,1024000,1.28,118047375360000,0.04307885244488716,0.99875,0.03933554142713547,0.9998779296875,10.687956888000372,34.90867910299494,85.35295878099987,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0125_seed123,dense_5p12m,5123584,123,125,256000,3840000,1024000,1.28,118047375360000,0.34252541661262514,0.61025,0.29617777466773987,0.9095458984375,11.167864512000051,35.526922772000944,66.68870199600042,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0125_seed2026,dense_5p12m,5123584,2026,125,256000,3840000,1024000,1.28,118047375360000,0.1239034041762352,0.9032,0.11295007914304733,0.97802734375,11.081999299999552,35.60172708800019,66.62038397800006,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0175_seed42,dense_5p12m,5123584,42,175,358400,5376000,1433600,1.792,165266325504000,0.006035412568598986,1.0,0.005605870857834816,1.0,9.09833446399989,47.754283039002985,75.94734938700003,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
